ID,date,start_time,end_time,category,perspective,region,num_players,chicken_dinner_winner
371-08-9091,2/2/18,2:16 PM,3:40 PM,Squad,TPP,Europe,92,dhurling0
839-08-6311,4/17/18,1:52 PM,3:15 PM,1-Man Squad,TPP,North America,100,tshergill1
636-82-4323,7/9/17,1:29 PM,3:56 PM,1-Man Squad,TPP,North America,87,usimenot2
346-14-9499,1/17/18,1:23 PM,4:16 PM,Duo,TPP,North America,100,opitson3
349-90-6586,11/10/17,12:34 PM,3:30 PM,Squad,FPP,Europe,89,nnutten4
969-93-5570,1/25/18,2:02 PM,3:49 PM,1-Man Squad,TPP,Europe,91,aprahm5
866-17-5982,8/13/17,1:04 PM,3:41 PM,Duo,TPP,Asia,100,jtassel6
076-02-5032,9/22/17,2:43 PM,4:30 PM,Squad,TPP,North America,95,byounghusband7
788-47-6679,2/12/18,1:58 PM,3:15 PM,Duo,TPP,Asia,99,cswinnard8
821-33-4617,10/23/17,1:14 PM,3:22 PM,Squad,TPP,Asia,94,swoolens9
504-93-2585,4/19/17,1:18 PM,3:29 PM,1-Man Squad,FPP,North America,98,dripinga
951-32-0857,5/28/17,2:31 PM,4:31 PM,Duo,TPP,Europe,100,nkassmanb
546-42-0933,6/16/17,1:58 PM,4:05 PM,Duo,FPP,Asia,99,rdaveridgec
098-44-9087,9/28/17,12:14 PM,4:26 PM,Squad,FPP,North America,91,cchatfieldd
828-18-9410,10/15/17,12:35 PM,4:05 PM,Duo,TPP,North America,98,rsheare
466-81-4548,6/3/17,1:56 PM,3:40 PM,Squad,FPP,Asia,87,cochterlonief
048-22-7449,6/12/17,1:40 PM,3:04 PM,Duo,FPP,Asia,92,sdannelg
971-60-9381,10/10/17,2:31 PM,4:51 PM,Solo,FPP,North America,100,lbeachh
779-58-8568,1/20/18,12:46 PM,4:51 PM,1-Man Squad,TPP,North America,86,hmayelli
391-11-3197,3/11/18,12:45 PM,4:58 PM,Duo,FPP,Asia,90,dpownallj
